Geographies,Categories,Consumer Expenditure by Income,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 3 - US$ million,280.5,386.5,440.8,461.8,493.8,626.7,624.6,693.9,704.8,677.8,668.2,703.4
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 4 - US$ million,340.5,462.5,534.9,558.1,603,769.3,778.7,865.2,880.2,849.9,838.7,883.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 5 - US$ million,400.1,537,628.5,653.3,712.1,912.5,935.6,1039.6,1059.1,1025.9,1013.3,1068.5
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 6 - US$ million,463.6,615.3,728,754.4,828.9,1066.5,1106.5,1229.6,1254.2,1218.4,1204.2,1270.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 7 - US$ million,536.1,703.6,841.7,869.3,963,1244,1306.2,1451.5,1482.2,1444,1428.1,1507.9
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 8 - US$ million,627,812.6,984,1012.5,1131.7,1468.4,1562.4,1735.9,1774.8,1734.2,1716.1,1813.4
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 9 - US$ million,760.5,970.2,1193.1,1221.9,1381.4,1802.6,1950.4,2166.6,2218.1,2175.4,2153.8,2278
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 10 - US$ million,1131.6,1391,1773.8,1796.1,2084.9,2757.3,3105.3,3446,3537.3,3497.2,3463.9,3671.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Total - US$ million,4870.3,6350.3,7644.2,7877.4,8772.4,11366.2,12060.7,13395.7,13686.7,13362.2,13213,13960.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 1 - US$ per household,20.4,29.5,31.2,32.8,33.1,40.6,37.4,41,40.7,38,36.8,38.1
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 2 - US$ per household,37.5,51.9,57.2,59.5,61.9,76.9,74.1,81.2,81.2,76.6,74.5,77.3
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 3 - US$ per household,49.2,66.7,75,77.5,81.8,102.5,100.8,110.5,110.7,105.1,102.3,106.4
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 4 - US$ per household,59.7,79.9,91.1,93.7,99.9,125.8,125.6,137.7,138.3,131.8,128.4,133.7
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 5 - US$ per household,70.1,92.7,107,109.7,118,149.2,150.9,165.5,166.4,159.1,155.1,161.6
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 6 - US$ per household,81.3,106.3,123.9,126.7,137.3,174.4,178.5,195.7,197,188.9,184.4,192.2
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 7 - US$ per household,94,121.5,143.3,146,159.6,203.4,210.7,231,232.8,223.9,218.6,228.1
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 8 - US$ per household,109.9,140.3,167.5,170,187.5,240.1,252,276.3,278.8,268.9,262.7,274.3
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 9 - US$ per household,133.3,167.6,203.1,205.2,228.9,294.7,314.6,344.9,348.4,337.3,329.7,344.5
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Decile 10 - US$ per household,198.4,240.2,302,301.6,345.4,450.8,500.9,548.5,555.6,542.2,530.3,555.3
Indonesia,Consumer Expenditure on Health Goods and Medical Services,Total - US$ per household,85.4,109.7,130.1,132.3,145.3,185.8,194.6,213.2,215,207.2,202.3,211.2
Indonesia,Consumer Expenditure on Transport,Decile 1 - US$ million,521.1,712.3,795.1,939.4,884.9,1061.6,1069.7,1115.6,1100.6,1046.3,999.7,1033.1
Indonesia,Consumer Expenditure on Transport,Decile 2 - US$ million,912.1,1194.3,1396.7,1628.5,1581.1,1933.3,2049.7,2137.8,2119.2,2037.3,1954.8,2026.9
Indonesia,Consumer Expenditure on Transport,Decile 3 - US$ million,1170.4,1501.6,1795,2079.9,2048.6,2527.5,2745.6,2863.6,2845.2,2749.7,2643.5,2745.1
Indonesia,Consumer Expenditure on Transport,Decile 4 - US$ million,1399,1768.6,2147.9,2477.5,2465.8,3062,3385,3530.3,3513.1,3407.9,3280.5,3410.4
Indonesia,Consumer Expenditure on Transport,Decile 5 - US$ million,1622.7,2026.1,2493.5,2865.3,2876.7,3591.7,4029.5,4201.9,4186.8,4073.9,3925.7,4084.7
Indonesia,Consumer Expenditure on Transport,Decile 6 - US$ million,1857.8,2293.3,2857,3271.6,3311.2,4154.9,4725.1,4926.6,4914.3,4795.1,4624.6,4815.9
Indonesia,Consumer Expenditure on Transport,Decile 7 - US$ million,2123,2590.8,3267.4,3728.5,3804.2,4797.3,5530.2,5765.1,5756.8,5632.3,5436.3,5665.8
Indonesia,Consumer Expenditure on Transport,Decile 8 - US$ million,2450.7,2953.3,3774.8,4291.1,4417.1,5600.8,6553.3,6829.9,6827.5,6699.1,6470.6,6749.8
Indonesia,Consumer Expenditure on Transport,Decile 9 - US$ million,2925.4,3469.2,4510.4,5102,5311.2,6781.2,8085.9,8423.7,8431.4,8301.8,8024.6,8380.1
Indonesia,Consumer Expenditure on Transport,Decile 10 - US$ million,4209.2,4810.2,6503.3,7271,7767.9,10076.2,12557.1,13063.9,13107.3,13004.6,12581.1,13172.1
Indonesia,Consumer Expenditure on Transport,Total - US$ million,19191.5,23319.7,29541,33654.8,34468.5,43586.5,50731.2,52858.4,52802.3,51747.9,49941.4,52084
Indonesia,Consumer Expenditure on Transport,Decile 1 - US$ per household,91.3,123,135.4,157.8,146.6,173.6,172.6,177.6,172.9,162.2,153,156.3
Indonesia,Consumer Expenditure on Transport,Decile 2 - US$ per household,159.9,206.3,237.8,273.5,262,316.1,330.7,340.3,332.9,315.9,299.3,306.6
Indonesia,Consumer Expenditure on Transport,Decile 3 - US$ per household,205.2,259.3,305.6,349.3,339.4,413.2,442.9,455.8,446.9,426.3,404.7,415.2
Indonesia,Consumer Expenditure on Transport,Decile 4 - US$ per household,245.3,305.4,365.7,416,408.5,500.6,546.1,561.9,551.8,528.3,502.2,515.8
Indonesia,Consumer Expenditure on Transport,Decile 5 - US$ per household,284.5,349.9,424.5,481.2,476.6,587.2,650,668.8,657.6,631.6,601,617.8
Indonesia,Consumer Expenditure on Transport,Decile 6 - US$ per household,325.7,396,486.4,549.4,548.6,679.3,762.3,784.2,771.9,743.4,708,728.4
Indonesia,Consumer Expenditure on Transport,Decile 7 - US$ per household,372.2,447.4,556.3,626.1,630.3,784.3,892.1,917.6,904.2,873.2,832.3,856.9
Indonesia,Consumer Expenditure on Transport,Decile 8 - US$ per household,429.6,510,642.7,720.6,731.8,915.7,1057.2,1087.1,1072.4,1038.6,990.6,1020.9
Indonesia,Consumer Expenditure on Transport,Decile 9 - US$ per household,512.8,599.1,767.9,856.8,880,1108.7,1304.4,1340.8,1324.3,1287.1,1228.5,1267.5
Indonesia,Consumer Expenditure on Transport,Decile 10 - US$ per household,737.9,830.7,1107.2,1221,1287,1647.4,2025.7,2079.4,2058.8,2016.2,1926.1,1992.2
Indonesia,Consumer Expenditure on Transport,Total - US$ per household,336.4,402.7,502.9,565.2,571.1,712.6,818.4,841.4,829.4,802.3,764.6,787.7
Indonesia,Consumer Expenditure on Communications,Decile 1 - US$ million,133.4,201.8,221.8,275.9,253.3,309.7,296.2,316.1,313.9,294.5,283.4,293.7
Indonesia,Consumer Expenditure on Communications,Decile 2 - US$ million,231.9,326.1,382.9,466.2,450.5,563,582.7,621.8,623.5,598.4,578.8,603
Indonesia,Consumer Expenditure on Communications,Decile 3 - US$ million,296.5,403.3,488.2,588.5,582.4,735.6,790.1,843,849,823.7,798.6,833.8
Indonesia,Consumer Expenditure on Communications,Decile 4 - US$ million,353.6,469.3,580.8,695.1,699.9,890.6,982.7,1048.4,1059.1,1035.5,1005.6,1051.6
Indonesia,Consumer Expenditure on Communications,Decile 5 - US$ million,409.3,532.3,671,798.3,815.5,1044.2,1178.5,1257.1,1273.2,1252.8,1218.1,1275.7
Indonesia,Consumer Expenditure on Communications,Decile 6 - US$ million,467.7,597,765.4,905.6,937.5,1207.5,1391.4,1484,1506.4,1490.9,1451.2,1521.7
Indonesia,Consumer Expenditure on Communications,Decile 7 - US$ million,533.5,668.4,871.5,1025.5,1075.8,1393.6,1639.6,1748.3,1778.7,1770.5,1725.1,1811.2
Indonesia,Consumer Expenditure on Communications,Decile 8 - US$ million,614.6,754.4,1002,1172,1247.5,1626.3,1957.4,2086.5,2127.7,2131.2,2078.5,2185.1
Indonesia,Consumer Expenditure on Communications,Decile 9 - US$ million,731.8,875.5,1190.1,1381.6,1497.5,1967.9,2437.7,2597.2,2656.1,2680.8,2617.3,2756.2
Indonesia,Consumer Expenditure on Communications,Decile 10 - US$ million,1047.5,1183.9,1694.8,1933.9,2182.7,2920.7,3861.2,4107.7,4225.1,4335.4,4238.8,4481
Indonesia,Consumer Expenditure on Communications,Total - US$ million,4819.9,6011.9,7868.4,9242.7,9742.6,12659,15117.5,16110.3,16412.7,16413.8,15995.3,16813
Indonesia,Consumer Expenditure on Communications,Decile 1 - US$ per household,23.4,34.8,37.8,46.3,42,50.6,47.8,50.3,49.3,45.7,43.4,44.4
Indonesia,Consumer Expenditure on Communications,Decile 2 - US$ per household,40.6,56.3,65.2,78.3,74.6,92.1,94,99,97.9,92.8,88.6,91.2
Indonesia,Consumer Expenditure on Communications,Decile 3 - US$ per household,52,69.6,83.1,98.8,96.5,120.3,127.5,134.2,133.4,127.7,122.3,126.1
Indonesia,Consumer Expenditure on Communications,Decile 4 - US$ per household,62,81.1,98.9,116.7,116,145.6,158.5,166.9,166.4,160.5,153.9,159.1
Indonesia,Consumer Expenditure on Communications,Decile 5 - US$ per household,71.8,91.9,114.2,134.1,135.1,170.7,190.1,200.1,200,194.2,186.5,192.9
Indonesia,Consumer Expenditure on Communications,Decile 6 - US$ per household,82,103.1,130.3,152.1,155.3,197.4,224.5,236.2,236.6,231.1,222.2,230.1
Indonesia,Consumer Expenditure on Communications,Decile 7 - US$ per household,93.5,115.4,148.4,172.2,178.2,227.8,264.5,278.3,279.4,274.5,264.1,273.9
Indonesia,Consumer Expenditure on Communications,Decile 8 - US$ per household,107.7,130.3,170.6,196.8,206.7,265.9,315.8,332.1,334.2,330.4,318.2,330.5
Indonesia,Consumer Expenditure on Communications,Decile 9 - US$ per household,128.3,151.2,202.6,232,248.1,321.7,393.2,413.4,417.2,415.6,400.7,416.9
Indonesia,Consumer Expenditure on Communications,Decile 10 - US$ per household,183.6,204.4,288.5,324.8,361.7,477.5,622.9,653.8,663.6,672.2,648.9,677.7
Indonesia,Consumer Expenditure on Communications,Total - US$ per household,84.5,103.8,134,155.2,161.4,207,243.9,256.4,257.8,254.5,244.9,254.3
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 1 - US$ million,253.2,337.5,371.9,427.4,393.4,465.5,465,486.7,485.8,466.6,451.7,471.8
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 2 - US$ million,463.7,592.6,680.3,772.7,732.2,879.4,918.3,961.4,964.6,937.2,910.8,953.7
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 3 - US$ million,607.2,760.8,890.6,1005.8,966.6,1169.1,1247.4,1305.9,1313.4,1283.1,1249.1,1309.6
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 4 - US$ million,736.6,909.6,1080,1214.8,1179.2,1433.6,1553.4,1626.2,1638.3,1606.8,1565.9,1643.4
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 5 - US$ million,865,1055.2,1267.8,1421.2,1391.3,1698.8,1864.8,1952.2,1969.3,1937.7,1890,1984.9
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 6 - US$ million,1001.6,1208.2,1467.6,1640,1618.2,1983.6,2203.8,2306.8,2329.8,2299.1,2244.1,2358.4
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 7 - US$ million,1157.6,1380.6,1695.6,1888.7,1878.3,2311.7,2599.5,2720.6,2750.8,2722.2,2658.7,2796.1
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 8 - US$ million,1352.8,1593.3,1980.7,2198.6,2205.5,2726.2,3106.5,3250.6,3290.4,3266.1,3191.6,3359.1
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 9 - US$ million,1639.5,1900.5,2399.4,2651.3,2689.1,3342.6,3873.8,4051.9,4107.1,4091.7,4000.6,4214.3
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 10 - US$ million,2435.2,2719.3,3560.1,3891.1,4049.5,5100.2,6153.3,6427.9,6532.2,6560.3,6416.2,6774
Indonesia,Consumer Expenditure on Leisure and Recreation,Total - US$ million,10512.5,12457.5,15393.9,17111.6,17103.3,21110.8,23985.9,25090.1,25381.5,25170.8,24578.7,25865.4
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 1 - US$ per household,44.4,58.3,63.3,71.8,65.2,76.1,75,77.5,76.3,72.3,69.2,71.4
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 2 - US$ per household,81.3,102.3,115.8,129.8,121.3,143.8,148.1,153,151.5,145.3,139.4,144.2
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 3 - US$ per household,106.5,131.4,151.6,168.9,160.1,191.1,201.2,207.9,206.3,198.9,191.2,198.1
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 4 - US$ per household,129.1,157.1,183.9,204,195.4,234.4,250.6,258.9,257.3,249.1,239.7,248.6
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 5 - US$ per household,151.6,182.2,215.8,238.7,230.5,277.7,300.8,310.7,309.3,300.4,289.3,300.2
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 6 - US$ per household,175.6,208.6,249.9,275.4,268.1,324.3,355.5,367.2,365.9,356.4,343.6,356.7
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 7 - US$ per household,202.9,238.4,288.7,317.2,311.2,377.9,419.4,433,432.1,422,407,422.9
Indonesia,Consumer Expenditure on Leisure and Recreation,Decile 8 - US$ per household,237.1,275.2,337.2,369.2,365.4,445.7,501.1,517.4,516.8,506.4,488.6,508
